Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı,Puan_Degeri,Oy_Sayisi,Liste_Fiyati_Numeric,Yayin_Yili,Sayfa_Sayisi_Numeric,Ana_Kategori,Dil_Encoded,Cilt Tipi_Encoded,Kağıt Cinsi_Encoded,Ana_Kategori_Grouped,Ana_Kategori_Bilim & Mühendislik,Ana_Kategori_Diger,Ana_Kategori_Diğer,Ana_Kategori_Edebiyat,Ana_Kategori_Felsefe-Düşünce,Ana_Kategori_Kişisel Gelişim,Ana_Kategori_Siyaset,Ana_Kategori_Sosyoloji,Ana_Kategori_Tarih,Ana_Kategori_Çocuk Kitapları,Ana_Kategori_İslam,Liste_Fiyati_Numeric_Normalized,Sayfa_Sayisi_Numeric_Normalized,Favorilere Ekleyen Kişi Sayısı_Normalized,Okuyacağım olarak işaretlenmiş sayısı_Normalized,Okuyorum olarak işaretlenmiş sayısı_Normalized,Okudum olarak işaretlenmiş sayısı_Normalized,Toplam Yorum Sayısı_Normalized,Puan_Degeri_Normalized,Oy_Sayisi_Normalized,Toplam Satılma Sayısı_Normalized
Ey Aşk! Bizi Affet,Kitap > Edebiyat > Diğer,Fatih Aydemir,HAYY KİTAP - KAMPANYA,4 / 5 (2 oy),49.0,1.0,0,4.0,"150,00",13.10.2020,TÜRKÇE,216,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,36.0,1.0,4.0,2.0,150.0,2020.0,216.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.22662889518413593,0.32653061224489793,0.1692573402417962,0.0018181818181818182,0.0,0.004197271773347324,0.002631578947368421,0.75,0.00011010790574763268,0.07268951194184839
Sabina SpielreinPsikanalizin Unutulmuş Öncüsü,Kitap > Psikoloji > Genel,Kolektif,PİNHAN YAYINCILIK-KAMPANYA,4 / 5 (15 oy),231.0,23.0,2,7.0,"630,00",25.04.2016,TÜRKÇE,416,Karton Kapak,13.5 x 21.5 cm,Kitap Kağıdı,213.0,2.0,4.0,15.0,491.25,2016.0,416.0,Psikoloji,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,1.0,0.6666666666666666,0.7979274611398963,0.04181818181818182,0.003875968992248062,0.007345225603357817,0.005263157894736842,0.75,0.0015415106804668576,0.4402907580477674
La Fanfarlo,Kitap > Edebiyat > Roman (Çeviri),Charles Baudelaire,LAKİN YAYINLARI,5 / 5 (2 oy),79.0,2.0,1,2.0,"175,00",05.03.2024,TÜRKÇE,80,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,154.0,1.0,5.0,2.0,175.0,2024.0,80.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.2832861189801699,0.09523809523809523,0.27288428324697755,0.0036363636363636364,0.001937984496124031,0.002098635886673662,0.002631578947368421,1.0,0.00011010790574763268,0.31775700934579443
Tarihin Kayıp Yüzü,Kitap > Edebiyat > Tarihi Roman,Şafak Tunç,MOTTO,4 / 5 (5 oy),43.0,3.0,0,3.0,"336,00",08.09.2023,TÜRKÇE,208,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,105.0,2.0,4.0,5.0,336.0,2023.0,208.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.6481586402266288,0.3129251700680272,0.1485319516407599,0.005454545454545455,0.0,0.0031479538300104933,0.005263157894736842,0.75,0.00044043162299053066,0.21599169262720663
İngiltere (Birleşik Krallık) Siyaseti,Kitap > Akademik > Siyaset İnceleme,Prof. Dr. Ozan Örmeci,URZENİ,5 / 5 (4 oy),175.0,4.0,1,3.0,"800,00",14.11.2020,TÜRKÇE,620,Karton Kapak,15 x 23 cm,Kitap Kağıdı,99.0,1.0,5.0,4.0,491.25,2020.0,612.0,Akademik,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.6044905008635578,0.007272727272727273,0.001937984496124031,0.0031479538300104933,0.002631578947368421,1.0,0.00033032371724289804,0.20353063343717548
Alparslan,Kitap > Tarih > Araştırma-İnceleme,Muzaffer Kadiroğlu,YEDİVEREN YAYIN GRUBU - KAMPANYA,,21.0,2.0,0,0.0,"187,00",23.02.2022,TÜRKÇE,224,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,13.0,0.0,5.0,5.5,187.0,2022.0,224.0,Tarih,0,1,3,Tarih,0,0,0,0,0,0,0,0,1,0,0,0.31048158640226625,0.3401360544217687,0.07253886010362694,0.0036363636363636364,0.0,0.0,0.0,1.0,0.000495485575864347,0.024922118380062305
Son Tatar,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > Fransızca,Philippe Frey,BİLGE KÜLTÜR SANAT,5 / 5 (14 oy),96.0,7.0,0,9.0,"420,00",24.10.2013,TÜRKÇE,544,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,118.0,9.0,5.0,14.0,420.0,2013.0,544.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.838526912181303,0.8843537414965985,0.33160621761658027,0.012727272727272728,0.0,0.00944386149003148,0.02368421052631579,1.0,0.001431402774719225,0.24299065420560745
Gönül Avcısı,Kitap > Edebiyat > Roman (Çeviri),Samantha James,PEGASUS YAYINLARI,4 / 5 (21 oy),202.0,6.0,0,19.0,"299,00",27.03.2013,TÜRKÇE,336,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,222.0,8.0,4.0,21.0,299.0,2013.0,336.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5643059490084985,0.5306122448979591,0.697754749568221,0.01090909090909091,0.0,0.01993704092339979,0.021052631578947368,0.75,0.002202158114952654,0.45898234683281414
Mahşerde Bir HutbeBir İttihatçının İstibdata Karşı Söylevi,Kitap > Siyaset > Siyasal Tarih,Doktor Cemil,MAVİ GÖK YAYINLARI,5 / 5 (1 oy),51.0,1.0,0,4.0,"216,00",13.03.2024,TÜRKÇE,80,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,55.0,1.0,5.0,1.0,216.0,2024.0,80.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.3762039660056657,0.09523809523809523,0.17616580310880828,0.0018181818181818182,0.0,0.004197271773347324,0.002631578947368421,1.0,0.0,0.11214953271028037
Tanrı ve Astronot,Kitap > Edebiyat > Roman (Yerli),Çayan Özvaran,ŞULE YAYINLARI - KAMPANYA,4 / 5 (5 oy),32.0,3.0,1,2.0,"280,00",30.10.2015,TÜRKÇE,214,Karton Kapak,12.5 x 21 cm,Kitap Kağıdı,37.0,2.0,4.0,5.0,280.0,2015.0,214.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5212464589235127,0.32312925170068024,0.11053540587219343,0.005454545454545455,0.001937984496124031,0.002098635886673662,0.005263157894736842,0.75,0.00044043162299053066,0.07476635514018692
ÇokkültürlülükGünümüzde Çeşitliliğin Siyasi Teorisi,Kitap > Siyaset > Araştırma-İnceleme,Andrew  Shorten,LEJAND,5 / 5 (2 oy),39.0,3.0,1,0.0,"299,00",15.08.2023,TÜRKÇE,320,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,231.0,1.0,5.0,2.0,299.0,2023.0,320.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.5643059490084985,0.5034013605442176,0.13471502590673576,0.005454545454545455,0.001937984496124031,0.0,0.002631578947368421,1.0,0.00011010790574763268,0.47767393561786087
Erkekler Hayvan mıdır?,Kitap > Kadın-Erkek > Erkek Kitapları,Matthew Gutmann,DESTEK YAYIN GRUBU-KAMPANYA,5 / 5 (1 oy),4.0,0.0,0,0.0,"280,00",14.09.2021,TÜRKÇE,328,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,7.0,0.0,5.0,1.0,280.0,2021.0,328.0,Kadın-Erkek,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.5212464589235127,0.5170068027210883,0.013816925734024179,0.0,0.0,0.0,0.0,1.0,0.0,0.012461059190031154
Az Düşün Uzun Yaşa,Kitap > Kişisel Gelişim,Dr. Pia Callesen,YAKAMOZ YAYINCILIK,4 / 5 (10 oy),289.5,24.0,7,16.0,"200,00",15.12.2022,TÜRKÇE,176,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,482.5,8.0,4.0,10.0,200.0,2022.0,176.0,Kişisel Gelişim,0,1,3,Kişisel Gelişim,0,0,0,0,0,1,0,0,0,0,0,0.3399433427762039,0.2585034013605442,1.0,0.04363636363636364,0.013565891472868217,0.016789087093389297,0.021052631578947368,0.75,0.000990971151728694,0.9999999999999999
İletişim Çalışmaları,Kitap > Akademik > Eğitim Bilimleri,Serhat Ulağlı,MOTTO,5 / 5 (1 oy),47.0,2.0,0,2.0,"349,00",08.02.2023,TÜRKÇE,222,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,60.0,1.0,5.0,1.0,349.0,2023.0,222.0,Akademik,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.6776203966005665,0.336734693877551,0.1623488773747841,0.0036363636363636364,0.0,0.002098635886673662,0.002631578947368421,1.0,0.0,0.122533748701973
Bilim ve Modern Dünya,Kitap > Felsefe-Düşünce > Diğer,Alfred North Whitehead,SAY YAYIN GRUBU-KAMPANYA,4 / 5 (3 oy),175.0,5.0,2,3.0,"300,00",21.10.2022,TÜRKÇE,272,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,148.0,0.0,4.0,3.0,300.0,2022.0,272.0,Felsefe-Düşünce,0,1,3,Felsefe-Düşünce,0,0,0,0,1,0,0,0,0,0,0,0.5665722379603398,0.42176870748299317,0.6044905008635578,0.00909090909090909,0.003875968992248062,0.0031479538300104933,0.0,0.75,0.00022021581149526536,0.3052959501557633
Altın Çan,Kitap > Edebiyat > Polisiye,Orhan T. Özdemir,URZENİ,5 / 5 (2 oy),20.0,2.0,1,1.0,"220,00",11.04.2019,TÜRKÇE,274,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,17.0,1.0,5.0,2.0,220.0,2019.0,274.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.38526912181303113,0.42517006802721086,0.0690846286701209,0.0036363636363636364,0.001937984496124031,0.001049317943336831,0.002631578947368421,1.0,0.00011010790574763268,0.033229491173416406
Eğlenceli Eğitimin Başucu Kitabı,Kitap > Eğitim > Çocuk Eğitimi,Nur Eda Kasap Süslü,HAYY KİTAP - KAMPANYA,5 / 5 (5 oy),52.0,3.0,2,4.0,"150,00",25.01.2021,TÜRKÇE,144,Karton Kapak,15.5 x 23 cm,Kitap Kağıdı,99.0,2.0,5.0,5.0,150.0,2021.0,144.0,Eğitim,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.22662889518413593,0.20408163265306123,0.17962003454231432,0.005454545454545455,0.003875968992248062,0.004197271773347324,0.005263157894736842,1.0,0.00044043162299053066,0.20353063343717548
Aşk Kokulu Baharatlar,Kitap > Hobi > Yeme-İçme,Maria Ekmekçioğlu,İNKILAP KİTABEVİ-KAMPANYA,5 / 5 (1 oy),17.0,0.0,0,0.0,"640,00",16.01.2019,TÜRKÇE,160,Karton Kapak,21 x 22 cm,Kuşe Kağıt,32.0,0.0,5.0,1.0,491.25,2019.0,160.0,Hobi,0,1,4,Diger,0,1,0,0,0,0,0,0,0,0,0,1.0,0.2312925170068027,0.05872193436960276,0.0,0.0,0.0,0.0,1.0,0.0,0.06438213914849429
Huysuz ve Tatlı,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Lauren Conrad,PEGASUS YAYINLARI,4 / 5 (5 oy),60.0,4.0,0,4.0,"269,00",11.09.2015,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,48.0,2.0,4.0,5.0,269.0,2015.0,288.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.49631728045325774,0.4489795918367347,0.20725388601036268,0.007272727272727273,0.0,0.004197271773347324,0.005263157894736842,0.75,0.00044043162299053066,0.0976116303219107
Oscar Pill 3 - Ölümsüzlerin Sırrı,Kitap > Edebiyat > Bilimkurgu-Fantazya > Kitap > Diğer > Gençlik Kitapları > Edebiyat > Kitap > Orijinal Dil > Fransızca,Eli Anderson,PEGASUS  ÇOCUK YAYINLARI,5 / 5 (8 oy),40.0,2.0,1,3.0,"295,00",06.03.2014,TÜRKÇE,608,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,39.0,4.0,5.0,8.0,295.0,2014.0,608.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5552407932011331,0.9931972789115646,0.1381692573402418,0.0036363636363636364,0.001937984496124031,0.0031479538300104933,0.010526315789473684,1.0,0.0007707553402334288,0.07892004153686397
"FuzuliHayatı, Eserleri, Şiiri",Kitap > Edebiyat > İnceleme,Mahmut Kaplan,LEJAND,5 / 5 (3 oy),75.0,5.0,0,2.0,"130,00",25.02.2021,TÜRKÇE,120,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,211.0,2.0,5.0,3.0,130.0,2021.0,120.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.18130311614730876,0.163265306122449,0.25906735751295334,0.00909090909090909,0.0,0.002098635886673662,0.005263157894736842,1.0,0.00022021581149526536,0.43613707165109034
Alfred Kropp’un Olağanüstü Maceraları,Kitap > Edebiyat > Roman (Çeviri),Rick Yancey,PEGASUS  ÇOCUK YAYINLARI,4 / 5 (18 oy),223.0,18.0,1,9.0,"250,00",18.07.2017,TÜRKÇE,336,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,122.0,8.0,4.0,18.0,250.0,2017.0,336.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.45325779036827196,0.5306122448979591,0.770293609671848,0.03272727272727273,0.001937984496124031,0.00944386149003148,0.021052631578947368,0.75,0.0018718343977097555,0.2512980269989616
Mars Tanrıları / John Carter II,Kitap > Edebiyat > Bilimkurgu-Fantazya,Edgar Rice Burroughs,FİHRİST KİTAP,5 / 5 (9 oy),102.0,20.0,1,10.0,"379,50",11.01.2023,TÜRKÇE,280,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,163.0,4.0,5.0,9.0,379.5,2023.0,280.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.746742209631728,0.43537414965986393,0.35233160621761656,0.03636363636363636,0.001937984496124031,0.010493179433368312,0.010526315789473684,1.0,0.0008808632459810614,0.3364485981308411
Algoritmaların Kara Kutusu Üzerine Düşünmekİletişim Çalışmaları Perspektifinden Kavramsal Tartışmalar,Kitap > Bilim & Mühendislik > Diğer,Elif Karakoç Keskin,SARMAL KİTABEVİ,,17.0,1.0,0,1.0,"240,00",15.02.2024,TÜRKÇE,271,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,38.0,0.0,5.0,5.5,240.0,2024.0,271.0,Bilim & Mühendislik,0,1,3,Bilim & Mühendislik,1,0,0,0,0,0,0,0,0,0,0,0.4305949008498583,0.4200680272108843,0.05872193436960276,0.0018181818181818182,0.0,0.001049317943336831,0.0,1.0,0.000495485575864347,0.07684319833852545
Osmanlı ve Kapitalizm,Kitap > Başvuru Kitapları > Diğer,Süleyman Eryiğit,Mİ YAYINLARI,,16.0,0.0,0,0.0,"790,00",23.01.2024,TÜRKÇE,524,Karton Kapak,13 x 20 cm,Kitap Kağıdı,31.0,0.0,5.0,5.5,491.25,2024.0,524.0,Başvuru Kitapları,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,1.0,0.8503401360544217,0.055267702936096716,0.0,0.0,0.0,0.0,1.0,0.000495485575864347,0.06230529595015576
Babanzade Ahmed Naim Ailesi ve İlmi Kişiliği (Ciltli),Kitap > İslam > Tarih,Abdullah Çelik,DİVAN KİTAP,,25.0,0.0,0,0.0,"800,00",14.01.2023,TÜRKÇE,484,Ciltli,16 x 24 cm,Kitap Kağıdı,9.0,0.0,5.0,5.5,491.25,2023.0,484.0,İslam,0,0,3,İslam,0,0,0,0,0,0,0,0,0,0,1,1.0,0.7823129251700679,0.08635578583765112,0.0,0.0,0.0,0.0,1.0,0.000495485575864347,0.016614745586708203
Mutlu EmpatHassas İnsanlar İçin Hayatta Kalma Rehberi,Kitap > Kişisel Gelişim,Christine Rose Elle,SAY YAYIN GRUBU-KAMPANYA,,36.0,2.0,0,1.0,"275,00",25.10.2023,TÜRKÇE,120,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,36.0,0.0,5.0,5.5,275.0,2023.0,120.0,Kişisel Gelişim,0,1,3,Kişisel Gelişim,0,0,0,0,0,1,0,0,0,0,0,0.509915014164306,0.163265306122449,0.12435233160621761,0.0036363636363636364,0.0,0.001049317943336831,0.0,1.0,0.000495485575864347,0.07268951194184839
Hain / İhanet Üçlemesi 2,Kitap > Edebiyat > Roman (Çeviri),Ursula Poznanski,PEGASUS YAYINLARI,5 / 5 (13 oy),81.0,9.0,0,17.0,"299,00",17.04.2017,TÜRKÇE,408,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,146.0,6.0,5.0,13.0,299.0,2017.0,408.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5643059490084985,0.6530612244897959,0.27979274611398963,0.016363636363636365,0.0,0.017838405036726127,0.015789473684210527,1.0,0.0013212948689715921,0.3011422637590862
Layemut,Kitap > Edebiyat > Roman (Yerli),Gökhan Yılmaz,MOTTO,1 / 5 (1 oy),15.0,3.0,0,1.0,"349,00",06.08.2020,TÜRKÇE,220,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,29.0,1.0,1.0,1.0,349.0,2020.0,220.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.6776203966005665,0.3333333333333333,0.05181347150259067,0.005454545454545455,0.0,0.001049317943336831,0.002631578947368421,0.0,0.0,0.05815160955347871
Güneş,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Catherine Fisher,PEGASUS  ÇOCUK YAYINLARI,4 / 5 (9 oy),116.0,7.0,1,14.0,"299,00",15.05.2014,TÜRKÇE,400,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,92.0,2.0,4.0,9.0,299.0,2014.0,400.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5643059490084985,0.6394557823129251,0.4006908462867012,0.012727272727272728,0.001937984496124031,0.014690451206715634,0.005263157894736842,0.75,0.0008808632459810614,0.1889927310488058
Normalleşme SancısıAçılım’dan Çözüm Sürecine Kürt Meselesi (2008 – 2015),Kitap > Siyaset > Aktüel Siyaset > Kitap > Siyaset > Etnik Sorunlar > Kitap > Siyaset > Araştırma-İnceleme,Taha Özhan,ÖZGÜR YAYINLARI KAMPANYA,4 / 5 (3 oy),29.0,2.0,0,3.0,"50,00",19.06.2015,TÜRKÇE,272,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,59.0,0.0,4.0,3.0,50.0,2015.0,272.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.0,0.42176870748299317,0.1001727115716753,0.0036363636363636364,0.0,0.0031479538300104933,0.0,0.75,0.00022021581149526536,0.12045690550363447
